role,size,raise_ai,source,fear,round
Content and social,50 to 250,yes,Marketing,Quality,H2 2025
Content and social,Under 50,no,IT,Quality,H1 2026
Digital marketing,50 to 250,no,Marketing,Jobs,H1 2026
Digital marketing,Under 50,yes,IT,Jobs,H1 2026
Communications,50 to 250,no,Marketing,Cost,H1 2026
Performance and paid,Under 50,yes,Operations,Quality,H1 2026
Digital marketing,Under 50,no,IT,Jobs,H1 2026
Communications,Under 50,no,IT,Quality,H2 2025
Ecommerce,Under 50,yes,New money,Cost,H2 2025
Digital marketing,50 to 250,no,Marketing,Jobs,H1 2026
Digital marketing,Under 50,no,New money,Jobs,H2 2025
Digital marketing,50 to 250,yes,IT,Cost,H1 2026
Performance and paid,Under 50,yes,New money,Jobs,H2 2025
Ecommerce,50 to 250,no,IT,Data,H1 2026
Communications,Under 50,yes,New money,Quality,H2 2025
Performance and paid,Under 50,no,New money,Data,H1 2026
Content and social,50 to 250,yes,Operations,Data,H2 2025
Content and social,Under 50,yes,New money,Cost,H1 2026
Performance and paid,50 to 250,yes,IT,Jobs,H2 2025
Ecommerce,50 to 250,no,Marketing,Jobs,H1 2026
Communications,Under 50,yes,IT,Quality,H1 2026
Performance and paid,Under 50,no,Operations,Jobs,H1 2026
Digital marketing,50 to 250,yes,Marketing,Cost,H1 2026
Content and social,50 to 250,no,Operations,Quality,H1 2026
Ecommerce,50 to 250,yes,Marketing,Quality,H2 2025
Content and social,Under 50,no,IT,Quality,H1 2026
Ecommerce,Under 50,no,Operations,Jobs,H2 2025
SEO,50 to 250,yes,IT,Jobs,H2 2025
Digital marketing,Under 50,yes,Marketing,Jobs,H1 2026
SEO,Under 50,yes,New money,Quality,H1 2026
Ecommerce,Under 50,yes,New money,Quality,H1 2026
Content and social,250+,yes,Operations,Quality,H2 2025
Content and social,50 to 250,no,New money,Quality,H1 2026
SEO,Under 50,no,New money,Cost,H2 2025
Ecommerce,50 to 250,yes,Operations,Jobs,H1 2026
Digital marketing,Under 50,yes,IT,Quality,H2 2025
Performance and paid,Under 50,no,IT,Quality,H2 2025
Ecommerce,250+,yes,Marketing,Quality,H1 2026
Ecommerce,50 to 250,yes,New money,Jobs,H1 2026
Ecommerce,50 to 250,no,IT,Data,H1 2026
Digital marketing,250+,yes,IT,Quality,H1 2026
Performance and paid,50 to 250,no,New money,Jobs,H1 2026
Digital marketing,250+,yes,New money,Jobs,H1 2026
Content and social,50 to 250,no,New money,Quality,H1 2026
Communications,Under 50,yes,Marketing,Quality,H1 2026
Communications,Under 50,no,New money,Jobs,H1 2026
Content and social,50 to 250,yes,IT,Quality,H1 2026
Digital marketing,250+,yes,New money,Quality,H2 2025
Digital marketing,250+,no,Operations,Cost,H2 2025
Communications,250+,no,Marketing,Quality,H1 2026
Digital marketing,50 to 250,yes,Marketing,Jobs,H1 2026
SEO,Under 50,no,New money,Jobs,H1 2026
Communications,250+,yes,Marketing,Jobs,H2 2025
Digital marketing,Under 50,no,Operations,Data,H2 2025
Digital marketing,50 to 250,yes,IT,Jobs,H2 2025
Content and social,Under 50,yes,New money,Quality,H1 2026
Digital marketing,50 to 250,no,New money,Quality,H1 2026
Ecommerce,Under 50,no,New money,Jobs,H1 2026
SEO,Under 50,no,Operations,Jobs,H2 2025
Digital marketing,Under 50,yes,IT,Quality,H1 2026
SEO,Under 50,yes,IT,Quality,H2 2025
Digital marketing,Under 50,no,IT,Quality,H1 2026
Digital marketing,50 to 250,yes,New money,Quality,H1 2026
Digital marketing,Under 50,no,IT,Jobs,H1 2026
Communications,Under 50,yes,Marketing,Quality,H2 2025
Ecommerce,Under 50,no,IT,Jobs,H1 2026
Content and social,50 to 250,no,Marketing,Quality,H1 2026
Content and social,50 to 250,no,IT,Jobs,H1 2026
Content and social,Under 50,no,Marketing,Jobs,H1 2026
Digital marketing,50 to 250,no,IT,Data,H1 2026
Ecommerce,50 to 250,yes,New money,Quality,H1 2026
Digital marketing,50 to 250,no,New money,Jobs,H1 2026
Ecommerce,50 to 250,yes,New money,Jobs,H1 2026
Content and social,Under 50,no,IT,Quality,H1 2026
SEO,Under 50,no,Marketing,Jobs,H2 2025
Performance and paid,50 to 250,no,New money,Cost,H2 2025
Ecommerce,50 to 250,no,Operations,Data,H1 2026
Performance and paid,Under 50,yes,New money,Data,H2 2025
SEO,Under 50,yes,Marketing,Quality,H1 2026
Communications,Under 50,yes,IT,Data,H1 2026
Content and social,50 to 250,no,IT,Quality,H1 2026
SEO,50 to 250,no,IT,Data,H2 2025
Digital marketing,50 to 250,no,IT,Cost,H1 2026
Content and social,Under 50,yes,New money,Quality,H1 2026
Digital marketing,Under 50,yes,New money,Data,H1 2026
Content and social,250+,no,New money,Jobs,H1 2026
Digital marketing,250+,yes,Marketing,Jobs,H1 2026
Communications,50 to 250,no,New money,Quality,H2 2025
Communications,50 to 250,no,New money,Jobs,H1 2026
SEO,50 to 250,no,New money,Quality,H1 2026
Ecommerce,Under 50,yes,IT,Jobs,H1 2026
Content and social,Under 50,no,New money,Data,H1 2026
Ecommerce,Under 50,no,IT,Jobs,H1 2026
Digital marketing,50 to 250,no,New money,Quality,H1 2026
